workload,NoH,battery,allocationType,carbon_trace,failures,runtime,energy_usage,scheduler_delay,SLA_violations,carbon_emission,embodied_carbon_host,embodied_carbon_battery,total_carbon
borg,850,0_1000,normal,US-NY-NYIS,no,2807551110,1168936400000.0,52546994.28584681,17.768697903785778,88869061.67293862,32494801.333476026,0.0,121363863.00641464
borg,1534,10_1000,normal,JP-CB,no,2679100797,1768881500000.0,-9999.0,-9999.0,239862096.0439311,58643559.11241438,8495.373,298514150.5293455
borg,1534,10_1000,normal,US-MIDW-AECI,no,2679100797,1768845600000.0,-9999.0,-9999.0,251866927.66662577,58643559.11241438,8495.373,310518982.1520401
borg,1534,10_1000,normal,PE,no,2679100797,1768601200000.0,-9999.0,-9999.0,69253832.00651596,58643559.11241438,8495.373,127905886.49193035
borg,1534,10_1000,normal,SI,no,2679100797,1768624100000.0,-9999.0,-9999.0,114742320.0318758,58643559.11241438,8495.373,173394374.51729017
borg,1534,10_1000,normal,RS,no,2679100797,1768691200000.0,-9999.0,-9999.0,243908208.0620629,58643559.11241438,8495.373,302560262.54747725
borg,1534,10_1000,normal,US-FLA-SEC,no,2679100797,1768956100000.0,-9999.0,-9999.0,249723877.9958092,58643559.11241438,8495.373,308375932.4812236
borg,1534,10_1000,normal,SE-SE1,no,2679100797,1768626800000.0,-9999.0,-9999.0,7943789.502565177,58643559.11241438,8495.373,66595843.98797956
borg,1534,10_1000,normal,US-SW-EPE,no,2679100797,1768891400000.0,-9999.0,-9999.0,223210624.0408593,58643559.11241438,8495.373,281862678.5262737
borg,1534,10_1000,normal,PH-LU,no,2679100797,1769106000000.0,-9999.0,-9999.0,320977856.02177125,58643559.11241438,8495.373,379629910.50718564
borg,1534,10_1000,normal,UY,no,2679100797,1768775500000.0,-9999.0,-9999.0,25094984.32030547,58643559.11241438,8495.373,83747038.80571985
borg,1534,10_1000,normal,US-SW-PNM,no,2679100797,1769067400000.0,-9999.0,-9999.0,144215982.53850165,58643559.11241438,8495.373,202868037.02391604
borg,1534,10_1000,normal,US-CAR-SC,no,2679100797,1769210400000.0,-9999.0,-9999.0,271582284.00515103,58643559.11241438,8495.373,330234338.4905654
borg,1534,10_1000,normal,US-MIDW-MISO,no,2679100797,1769237800000.0,-9999.0,-9999.0,205400806.21302712,58643559.11241438,8495.373,264052860.6984415
