region_code,region_name,continent,period,CI_min,CI_max,CI_mean,CI_low,CI_high,CI_COV,CI_COV_daily
AT,Austria,Europe,2021,19.8,494.24,217.29,127.27,296.43,45.64,13.36
AT,Austria,Europe,2022,25.54,455.2,240.82,182.99,299.52,33.26,13.31
AT,Austria,Europe,2023,18.21,461.03,154.19,88.45,208.11,52.53,18.26
AT,Austria,Europe,2024,22.48,386.91,123.2,59.93,176.83,62.83,20.29
AT,Austria,Europe,all,18.21,494.24,183.84,99.63,257.8,52.83,16.31
AU,Australia7,Oceania,2021,338.81,701.89,571.74,540.2,613.19,10.16,8.24
AU,Australia7,Oceania,2022,274.14,681.04,529.86,484.8,588.39,14.89,12.77
AU,Australia7,Oceania,2023,251.79,696.41,501.18,411.16,585.34,20.51,19.59
AU,Australia7,Oceania,2024,229.04,715.14,498.87,401.08,591.53,22.99,21.53
AU,Australia7,Oceania,all,229.04,715.14,525.39,471.53,595.63,18.25,15.54
AU-NSW,New South Wales,Oceania,2021,338.29,816.48,655.36,611.64,711.07,12.04,9.62
AU-NSW,New South Wales,Oceania,2022,267.26,798.34,592.82,529.16,672.11,18.18,15.53
AU-NSW,New South Wales,Oceania,2023,186.65,777.1,554.22,438.72,663.84,24.93,23.64
AU-NSW,New South Wales,Oceania,2024,171.4,808.21,552.35,432.28,672.63,27.22,25.43
AU-NSW,New South Wales,Oceania,all,171.4,816.48,588.66,518.31,682.59,21.91,18.56
AU-NT,Northern Territory,Oceania,2021,486.98,512.94,489.01,488.39,489.34,0.28,0.14
AU-NT,Northern Territory,Oceania,2022,485.9,506.34,489.08,488.32,489.36,0.32,0.17
AU-NT,Northern Territory,Oceania,2023,485.79,509.92,490.01,488.14,490.14,0.67,0.47
AU-NT,Northern Territory,Oceania,2024,487.01,531.72,494.52,488.32,499.59,1.66,1.43
AU-NT,Northern Territory,Oceania,all,485.79,531.72,490.66,488.28,489.98,1.04,0.55
AU-QLD,Queensland,Oceania,2021,398.6,800.41,686.15,644.5,740.79,10.88,9.69
AU-QLD,Queensland,Oceania,2022,331.44,805.37,657.15,604.07,730.99,15.32,13.8
AU-QLD,Queensland,Oceania,2023,307.33,796.56,605.03,468.49,716.24,22.59,22.49
AU-QLD,Queensland,Oceania,2024,267.39,794.53,595.85,454.34,709.89,23.75,23.49
AU-QLD,Queensland,Oceania,all,267.39,805.37,636.02,568.3,726.35,19.25,17.37
AU-SA,South Australia,Oceania,2021,34.63,515.27,205.51,119.05,277.88,51.55,30.36
AU-SA,South Australia,Oceania,2022,11.93,506.44,179.17,71.89,266.37,67.17,40.22
AU-SA,South Australia,Oceania,2023,25.03,601.32,187.49,63.63,288.56,73.88,49.62
AU-SA,South Australia,Oceania,2024,11.0,640.0,188.91,62.18,292.67,74.72,51.53
AU-SA,South Australia,Oceania,all,11.0,640.0,190.27,81.6,280.5,67.1,42.94
AU-TAS,Tasmania,Oceania,2021,13.82,64.75,22.48,20.83,23.34,18.64,8.83
AU-TAS,Tasmania,Oceania,2022,16.13,123.35,26.66,21.45,24.75,42.18,16.81
AU-TAS,Tasmania,Oceania,2023,15.0,334.25,90.26,23.19,147.93,79.03,50.66
AU-TAS,Tasmania,Oceania,2024,17.74,375.9,133.66,66.87,194.26,60.24,47.29
AU-TAS,Tasmania,Oceania,all,13.82,375.9,68.31,21.92,112.85,104.34,30.91
AU-VIC,Victoria,Oceania,2021,301.23,809.03,591.31,538.46,645.78,13.36,8.98
AU-VIC,Victoria,Oceania,2022,285.91,794.18,541.43,475.45,604.7,17.02,12.07
AU-VIC,Victoria,Oceania,2023,233.39,788.43,504.35,423.9,575.24,20.03,15.1
AU-VIC,Victoria,Oceania,2024,205.43,773.68,502.98,413.91,589.18,22.8,17.54
AU-VIC,Victoria,Oceania,all,205.43,809.03,535.0,464.9,608.66,19.44,13.43
AU-WA,Western Australia,Oceania,2021,163.77,717.94,469.1,383.48,569.01,25.17,19.09
AU-WA,Western Australia,Oceania,2022,142.32,734.35,434.89,356.02,518.94,25.89,20.4
AU-WA,Western Australia,Oceania,2023,11.0,708.52,430.01,355.29,527.9,30.2,24.82
AU-WA,Western Australia,Oceania,2024,45.0,679.74,406.94,312.5,504.14,31.17,26.46
AU-WA,Western Australia,Oceania,all,11.0,734.35,435.21,354.44,528.87,28.5,22.7
BA,Bosnia and Herzegovina,Europe,2021,10.7,806.85,532.24,442.19,609.76,20.96,12.98
BA,Bosnia and Herzegovina,Europe,2022,171.21,807.98,573.94,499.43,647.67,16.66,12.05
BA,Bosnia and Herzegovina,Europe,2023,252.71,814.97,495.14,414.21,572.74,21.09,11.14
BA,Bosnia and Herzegovina,Europe,2024,190.13,809.62,494.78,432.63,550.08,18.37,12.58
BA,Bosnia and Herzegovina,Europe,all,10.7,814.97,524.0,443.91,599.14,20.24,12.19
BE,Belgium,Europe,2021,43.85,346.62,163.79,120.96,205.12,35.09,14.23
BE,Belgium,Europe,2022,74.71,370.19,194.28,147.52,236.59,30.77,15.48
